cid,text,author,time,votes,replies,sentiment,pos_score,neg_score,neu_score,compound_score,text_length
UgyRypoyncbWQyGjoX94AaABAg,"Terimakasih Om atas kesempatannya, semoga ada setitik makna yang bisa membantu generasi muda Indonesia tumbuh menjadi lebih bijak.",@TimothyRonald,1 hari yang lalu,13 rb,598.0,Netral,0.0,0.0,1.0,0.0,130
Ugyo0kzpAehmIp_Mz114AaABAg,"Aku kok merinding ya dengerin obrolan mereka,. Semoga aja lebih banyak orang"" kaya di negeri ini yg memiliki visi seperti timothy, dan kalian yg memiliki tujuan mulia juga di segerakan menjadi orang kaya",@wahyudion3014,22 jam yang lalu (diedit),198,3.0,Netral,0.0,0.0,1.0,0.0,203
UgwOAJSD_kdrS02WEvp4AaABAg,"mulia sekali hatimu timoty,, TUHAN memberkatimu untuk jadi berkat buat rakyat2 diNTT .. GBU TIMOTHY RONALD.. RESPECT",@eeqlu,1 hari yang lalu,41,,Positif,0.193,0.0,0.807,0.5904,116
Ugz33KM5CvphMpUerqp4AaABAg,"Yang bikin Timothy Ronald beda itu bukan cuma isi omongannya, tapi cara dia menyisipkan sugesti yang masuk halus tanpa kita sadar.
Pas dia ngomong, otak kita bisa mikir, iya juga ya...tapi tanpa disuruh kita tiba-tiba jadi pengen gerak, pengen berubah. itulah poinnya, Nggak kelihatan memotivasi secara langsung, tapi delivery sugestinya masuk. menurut saya, ini bukan sekadar konten motivasi. Tapi semacam transfer mentalitas. Dan jujur aja siapa yang hidupnya sudah banyak berubah bahkan naik level sejak ngikutin timothy???? saya salah satunya",@bintangsanjaya898,15 jam yang lalu,26,1.0,Netral,0.0,0.0,1.0,0.0,546
UgxblUTbJQMzHj-OQqp4AaABAg,"2 mentor dalam 1 meja. terharu bgtt, semoga bisa berada di taraf hidup kalian berdua di masa depan. Terimakasih banyak untuk segala ilmu yang diberikan❤",@almasilhamm,1 hari yang lalu,493,6.0,Netral,0.0,0.0,1.0,0.0,152
UgygiOyGKtWc1wBgDKV4AaABAg,"Timothy mengedukasi dijaman yg tepat,, karna banyak orang pd saat ini memanfaat kan media dgn sangat buruk untuk generasi saat ini dan seterusnya..
Sy se7 dan sangat suka dgn cara timothy memberi semangat dan inspirasi..",@AdhiPutra-e2p,17 jam yang lalu,84,2.0,Netral,0.0,0.0,1.0,0.0,220
Ugz8WiXQkjaUfjOnFWh4AaABAg,"Mau berapapun yg gak suka dg dua orang ini,,,nyatanya banyak yg terbantu diluar sana",@PUJILESTARI0304,1 hari yang lalu,"1,8 rb",65.0,Netral,0.0,0.0,1.0,0.0,84
Ugwi2B4Z9yWXjsyC1-p4AaABAg,"Membangun sekolah mudah, membangun manusianya yang susah. Itu yang gue alami sebagai guru SD selama 20 tahun. Namun mulia bangets pemikirannya Timothy Ronald dan kerja nyatanya.",@gedesaman4998,9 jam yang lalu,9,,Netral,0.0,0.0,1.0,0.0,177
UgwqqImxJYmxnoBoY3h4AaABAg,"isinya full daging, real cerdas cr bicaranya, ndak am em am em... bener2 pakar ini timoty (1:100jt orang)semoga visimu tercapai , membenahi pendidikan Indonesia...",@Banguyab-gaming,17 jam yang lalu,91,3.0,Netral,0.0,0.0,1.0,0.0,163
Ugx25Px8JrYtcWPXURx4AaABAg,"Subhanalloh gak bisa berkata kata gw denger pembicaraan kali ini, sehat selalu semoga ketenangan, kebehagiaan, kebijaksanaan selalu tuhan dekatkan pada 2 orang hebat ini",@katresnaofficial8699,1 hari yang lalu,83,,Netral,0.0,0.0,1.0,0.0,169
