cid,text,author,time,votes,replies,sentiment,pos_score,neg_score,neu_score,compound_score,text_length
Ugx4yXCnj2EwazlGf2x4AaABAg,10 huta gumanoid didunia ini. Dunia akan musnah karena perang.,@strausssgirl6972,1 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,62
Ugzq0J9PWkPpENSd8yB4AaABAg,"Emang riba  menyengsarakan ,tapi bagaimana dengan saya ..udh bahagia liat kluarga dapat hidup layak punya rumah punya usaha ..tapi skrng buyar karena berhenti kerja..gak punya tabungan karena ya cicilan 4jt perbulan ke bank mandiri  ,skrng jadi gelap entah baru sadar pengetahuan dan kemampuan yg rendah.atau emang belum ada rezekinya  .saya ikhtiar skrng di tiktok affiliate di fokusin malah babak belur .dan nyoba jualan kaya sales ke toko"" mendadak tumpul .udh sebulan bisa di bilang katakan lah 0 penghasilan karena buat kebutuhan aja gak sampe sama sini .pertanyaan harus bagaimana lagi yg bisa di lakuin, gak mungkin saya jual rumah yg ngerubah anak istri yg udh hidup layak jadi ngontrak lagi. Ya ampun jadi mentok gini.  Saya nulis disini cuma ngelampiasin aja .siapa juga yg mau baca apalagi bantu. Gak ada yg kenal",@yogihamdani5732,3 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,824
Ugxl_CLf6mZo19_n8Zd4AaABAg,Terkesan Om Ded gk mau kalah pinter dg Bro Tim,@SusterAna,3 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,46
UgyzX0RKcVquUhpq4Xl4AaABAg,Bangggaa bgnet sama timoti,@youkoudua4502,4 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,26
UgwtGR91l5aUisszZFF4AaABAg,"Ronald klw ngomong yg enk2 nya ajh, lu mah enk lahir bukan dari enol 🤣",@justinbibirmonyong8371,5 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,70
UgyxAtIDfjMK2gQwUat4AaABAg,"Ini obrolan isi daging, buat menyupport kalangan bawah untuk dirinya harus berkembang. Keren  sih orang berdua ini, obrolanya slalu nyambung tanpa putus👏",@muis_ar_official9513,7 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,153
UgwswYaeU5DMeAUzQsp4AaABAg,Lebih mudah pakai genzutsu dari clan uciha,@countertukangbaper,11 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,42
UgzX7R1LiUPpLYkwp9B4AaABAg,"pendidikan yang harusnya ditanggung negara, tapi ini ditanggung individu, ya gimana ga berat, terharu, ya wajar lah kalo pesimis, negara gitu2 aja perkembangannya padahal kepalanya lebih banyak dari timothy ronald",@kiki-id5nz,12 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,213
Ugye6gCy6MGwYJIlhVx4AaABAg,Semangat terus,@akmalzain01,13 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,14
Ugx-z78NdE-1V6hJxet4AaABAg,"47:51 ggra grafik bohong itu lalu hilanglah temenku satu, alfatihah buat alm",@kangjenn2027,16 menit yang lalu (diedit),0,,Positif,0.0,0.0,1.0,0.0,76
UgwDXSrCaM7JS8XtfCJ4AaABAg,seorang timothy ronald bisa calm seperti itu didepan mas dedi 😅,@faris_sandreas,16 menit yang lalu,0,,Positif,0.204,0.0,0.796,0.3182,63
Ugwe7RKd_ftvQq9KcLB4AaABAg,"@TimothyRonald sangat CLAS semoga sehat selalu 🎉❤ terimakasih saya belajar banyak dari anda, terimakasih banyak🙏👍",@yusufindo_2005,18 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,113
UgynKN-E8DNFWJYezJd4AaABAg,"Keren banget, penuh ilmu ❤",@TahuMaria,19 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,26
UgyA0oE7egVYYtY3tN14AaABAg,Emang mantap nih ⚡️էհօɾӠ𝟙𝟙⚡️ depo cepat Wede Kilat  🥳,@AwanKING-r1p,19 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,53
UgyrQoEKI_ITzuoo9Sh4AaABAg,"saya telat ketemu dengan orang ini, nyesel juga tidak 5 tahun lalu, tapi walaupun telat saya dengerin konten2nya mencoba pahami dan coba ikuti",@irawanwendi7305,21 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,142
UgxY0yls2promEhxPk94AaABAg,Mau web G@cr0t Wede secepat Kilat nih⚡️էհօɾӠ𝟙𝟙⚡️brree,@KINGAWAN-x3n,22 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,53
Ugygt-9jqbMazAE0RFV4AaABAg,Tanks bro tim,@ryanariyanto6735,24 menit yang lalu,0,,Positif,0.0,0.0,1.0,0.0,13
